price,area,property-type,rooms-number,zip-code,land-area,garden,garden-area,equipped-kitchen,full-address,swimming-pool,furnished,open-fire,terrace,terrace-area,facades-number,building-state
159000,122,house,2,4430,335,1,171,1.0,ans,0,0,0,1,20,2,good
345000,119,house,4,9000,49,0,0,1.0,gent,0,0,0,0,0,2,good
570000,404,house,4,1570,1000,1,1000,1.0,galmaarden,0,0,0,1,52,4,as new
800000,350,house,4,1190,263,1,140,1.0,forest,0,0,0,0,0,2,to rebuild
425000,130,house,3,4950,991,0,0,1.0,waimes,0,0,0,1,14,4,good
450000,306,house,6,9600,460,1,215,1.0,ronse,0,0,0,1,12,2,good
750000,200,house,4,1150,360,0,0,1.0,woluwe-saint-pierre,0,0,0,0,0,3,to renovate
849000,1010,house,6,4607,16959,1,15324,1.0,dalhem,0,0,0,1,80,4,good
129000,165,house,3,9600,610,1,430,0.0,ronse,0,0,0,0,0,2,to renovate
300000,125,house,2,4350,714,1,540,1.0,remicourt,0,0,0,1,20,4,good
550000,203,house,4,1325,1886,1,1737,1.0,chaumont-gistoux,0,0,0,1,30,4,to rebuild
359000,182,house,4,9600,1424,1,952,1.0,ronse,0,0,0,1,25,3,as new
1000000,340,house,10,1050,285,1,145,1.0,ixelles,0,0,0,1,30,2,good
1195000,540,house,7,1933,1241,0,0,1.0,sterrebeek,0,0,1,1,35,4,good
990000,388,house,4,1150,387,1,135,1.0,woluwe-saint-pierre,0,0,0,1,38,2,good
325000,180,house,4,4052,555,1,380,0.0,chaudfontaine-beaufays,0,0,0,0,0,4,to renovate
700000,323,house,8,1030,100,0,0,1.0,schaerbeek,1,0,0,1,27,2,good
995000,278,house,6,1380,5541,1,5341,1.0,lasne,1,0,0,1,21,4,good
1250000,420,house,5,1420,4677,1,4300,1.0,braine-lalleud,0,0,0,1,80,4,as new
345000,145,house,4,1030,75,0,0,1.0,schaerbeek,0,0,0,1,25,2,to rebuild
499000,170,house,3,1820,1090,1,850,1.0,steenokkerzeel-melsbroek,0,0,0,1,35,3,as new
600000,171,house,5,1040,120,1,50,1.0,etterbeek,0,0,0,1,15,2,good
199500,160,house,4,4500,365,1,285,1.0,huy,0,0,0,1,15,2,good
240000,125,house,2,4350,620,1,540,1.0,remicourt,0,0,0,1,20,4,good
750000,276,house,4,4280,4541,1,3500,1.0,hannut,0,0,0,0,0,4,as new
1409000,420,house,5,1070,119,0,0,1.0,anderlecht,0,0,0,0,0,3,to rebuild
310000,190,house,3,8520,518,0,0,1.0,kuurne,0,0,0,0,0,3,good
750000,276,house,4,4280,4541,1,3500,1.0,hannut,0,0,0,1,40,4,as new
120000,93,house,2,4420,43,0,0,1.0,saint-nicolas,0,0,0,0,0,3,good
255000,230,house,5,4841,432,1,339,1.0,welkenraedt,0,0,0,0,0,3,good
255000,230,house,5,4841,432,1,339,1.0,welkenraedt,0,0,0,0,0,3,good
229500,171,house,3,4470,665,1,305,1.0,saint-georges-sur-meuse,0,0,0,0,0,2,good
595000,220,house,4,1731,422,0,0,1.0,relegem,0,0,0,1,100,4,as new
645000,260,house,4,7910,2901,0,0,1.0,arc-wattripont,0,0,0,0,0,4,good
645000,260,house,4,7910,2901,0,0,1.0,arc-wattripont,0,0,0,0,0,4,good
175000,95,house,2,1470,260,0,0,0.0,genappe,0,0,0,0,0,2,to rebuild
109000,127,house,2,9600,100,1,35,1.0,ronse,0,0,0,0,0,2,to renovate
235000,105,house,2,3320,71,1,14,1.0,hoegaarden,0,0,0,0,0,3,as new
235000,100,house,2,3320,65,1,14,1.0,hoegaarden,0,0,0,0,0,3,as new
310000,118,house,3,1450,752,1,450,1.0,chastre,0,0,0,0,0,3,to renovate
575000,225,house,4,8790,764,0,0,1.0,waregem,0,0,0,0,0,4,just renovated
695000,350,house,5,8581,1996,0,0,1.0,kerkhove,0,0,1,0,0,4,just renovated
649000,219,house,3,1160,135,1,36,0.0,auderghem,0,0,0,1,25,2,to rebuild
499000,155,house,3,1140,177,0,0,1.0,evere,0,0,0,1,27,2,good
349000,197,house,4,9200,617,0,0,1.0,appels,0,0,0,0,0,4,to rebuild
980000,265,house,4,1760,3300,0,0,1.0,roosdaal,0,0,0,0,0,4,just renovated
1300000,600,house,8,1190,100,0,0,0.0,forest,0,0,0,1,5,2,good
225000,194,house,4,9620,100,0,0,1.0,zottegem,0,0,0,1,14,2,to rebuild
499000,187,house,6,1330,412,1,360,1.0,rixensart,0,0,0,1,2240,4,good
750000,220,house,4,1390,815,1,720,1.0,grez-doiceau,0,0,0,1,108,3,just renovated
1050000,235,house,4,1050,271,1,150,1.0,ixelles,0,0,0,0,0,2,to renovate
1375000,350,house,6,3080,1557,1,1300,1.0,tervuren,0,0,1,1,100,4,good
85000,100,house,3,6987,80,0,0,0.0,rendeux,0,0,0,0,0,2,to renovate
189000,144,house,2,9600,170,1,60,1.0,ronse,0,0,0,1,10,2,good
448000,150,house,4,1653,429,0,0,1.0,dworp,0,0,0,0,0,3,good
449990,255,house,5,1090,149,1,67,1.0,jette,0,0,0,0,0,2,to rebuild
349000,117,house,3,1404,407,1,250,1.0,bornival,0,0,0,1,30,3,just renovated
495000,122,house,4,1160,235,1,100,1.0,auderghem,0,0,0,1,40,3,to rebuild
935000,237,house,6,1380,1641,1,1546,1.0,lasne,0,0,0,1,60,4,as new
2498000,570,house,7,1000,314,1,145,1.0,bruxelles,0,1,0,1,32,2,as new
325000,144,house,3,9890,193,1,37,1.0,gavere,0,0,0,1,12,2,as new
325000,144,house,3,9890,195,1,39,1.0,gavere,0,0,0,1,12,2,as new
339000,144,house,3,9890,191,1,35,1.0,gavere,0,0,0,1,12,3,as new
345000,152,house,3,9890,208,1,44,1.0,gavere,0,0,0,1,12,3,as new
403950,215,house,3,1790,321,0,0,1.0,affligem,0,0,0,0,0,3,as new
545000,180,house,3,1652,700,1,530,1.0,alsemberg,0,0,1,1,30,4,good
225000,150,house,3,8710,321,0,0,1.0,sint-baafs-vijve,0,0,0,0,0,3,to rebuild
589000,234,house,4,2950,594,1,400,1.0,kapellen,0,0,0,1,36,3,as new
795000,271,house,4,1390,47,0,0,1.0,grez-doiceau,0,0,0,0,0,4,good
175000,124,house,2,6870,721,0,0,0.0,saint-hubert,0,0,0,1,10,2,as new
325000,220,house,4,7060,1578,0,0,1.0,soignies,0,0,0,0,0,4,to rebuild
550000,330,house,5,6941,1110,1,1110,1.0,durbuy,0,0,0,0,0,3,as new
225000,300,house,3,6980,780,1,700,0.0,la-roche-en-ardenne,0,0,0,0,0,3,to renovate
495000,191,house,4,1210,136,1,50,1.0,saint-josse-ten-noode,0,0,0,1,20,2,as new
550000,200,house,2,1040,200,1,60,1.0,etterbeek,0,0,0,0,0,2,to renovate
510000,129,house,3,1950,714,1,515,1.0,kraainem,0,0,0,1,10,3,to renovate
845000,185,house,4,1970,614,1,600,1.0,wezembeek-oppem,0,0,0,1,10,4,good
1450000,515,house,4,8510,3781,0,0,1.0,marke,0,0,1,0,0,4,good
249000,190,house,3,6230,1250,1,1000,1.0,obaix,0,0,0,0,0,4,to rebuild
249000,387,house,3,6741,427,0,0,1.0,vance,0,0,0,0,0,3,to renovate
530000,203,house,3,1090,192,1,105,0.0,jette,0,0,0,1,9,2,to renovate
595000,185,house,4,2920,1525,0,0,1.0,kalmthout,0,0,1,0,0,4,good
99000,99,house,1,4051,236,1,160,0.0,chaudfontaine,0,1,0,1,28,4,to rebuild
99000,76,house,2,4100,25,0,0,0.0,seraing,0,0,0,0,0,2,good
